date,open,high,low,close,volume
2014-01-02,95.76,95.76,94.8201,95.08,3728195
2014-01-03,95.29,95.44,94.95,95.06,3206257
2014-01-06,95.5,95.56,94.67,94.81,3169428
2014-01-07,95.19,95.585,95.1,95.42,2617173
2014-01-08,95.44,95.62,95.09,95.49,3783101
2014-01-09,95.83,95.83,95.1,95.57,3440502
2014-01-10,95.78,95.87,95.295,95.84,2903689
2014-01-13,95.75,95.88,94.388,94.63,4322679
2014-01-14,94.93,95.7284,94.73,95.67,2660499
2014-01-15,95.94,96.29,95.8401,96.15,2525070
2014-01-16,96.05,96.1199,95.789,96.08,3058195
2014-01-17,96.0,96.13,95.55,95.71,2716468
2014-01-21,96.36,96.36,95.44,96.03,5557207
2014-01-22,96.27,96.299,95.91,96.21,1860933
2014-01-23,95.77,95.85,94.91,95.38,3223541
2014-01-24,94.77,94.89,93.29,93.32,7277811
2014-01-27,93.32,93.6,92.21,92.72,6667493
2014-01-28,92.89,93.47,92.8,93.37,10136083
2014-01-29,92.67,93.08,92.18,92.41,4720224
2014-01-30,93.23,93.7799,92.96,93.49,2540836
2014-01-31,92.44,93.55,92.28,92.88,4101025
2014-02-03,92.84,93.047,90.542,90.7,6569089
2014-02-04,91.2,91.63,90.78,91.39,3427235
2014-02-05,91.02,91.44,90.39,91.25,3407334
2014-02-06,91.49,92.37,91.35,92.36,3237424
2014-02-07,92.94,93.61,92.53,93.55,3541428
2014-02-10,93.62,93.74,93.26,93.66,3419786
2014-02-11,93.99,94.95,93.82,94.73,4287872
2014-02-12,94.91,95.21,94.625,94.86,3128653
2014-02-13,94.145,95.5193,94.145,95.44,2726441
2014-02-14,95.4,96.05,95.22,95.9,2244504
2014-02-18,96.06,96.27,95.77,96.18,3006450
2014-02-19,95.97,96.5,95.44,95.54,2320600
2014-02-20,95.65,96.33,95.33,96.18,2657942
2014-02-21,96.39,96.53,96.0301,96.1,1952033
2014-02-24,96.38,97.27,96.31,96.65,2357611
2014-02-25,96.77,97.01,96.28,96.61,2427541
2014-02-26,96.83,97.1,96.45,96.71,1934625
2014-02-27,96.63,97.22,96.47,97.22,1593974
2014-02-28,97.17,97.86,96.74,97.4,2302777
2014-03-03,96.57,96.88,96.01,96.69,2743391
2014-03-04,97.93,98.35,97.642,98.21,3105445
2014-03-05,98.26,98.38,98.09,98.23,1855317
2014-03-06,98.54,98.65,98.265,98.41,2084504
2014-03-07,98.84,98.85,98.0,98.38,2312130
2014-03-10,98.32,98.396,97.73,98.31,2586580
2014-03-11,98.5,98.63,97.53,97.76,3718531
2014-03-12,97.36,97.86,97.03,97.83,2225616
2014-03-13,98.18,98.266,96.418,96.7,3482366
2014-03-14,96.51,97.07,96.4301,96.58,2892370
2014-03-17,97.09,97.658,97.06,97.35,2735794
2014-03-18,97.65,98.28,97.5,98.18,3673393
2014-03-19,98.21,98.28,97.0178,97.62,2705425
2014-03-20,97.39,98.1899,97.21,98.11,1466975
2014-03-21,98.57,98.6932,97.65,97.75,2821826
2014-03-24,98.11,98.2,96.7325,97.18,3922560
2014-03-25,97.2,97.58,96.59,97.1,1741203
2014-03-26,97.52,97.65,96.27,96.29,2895955
2014-03-27,96.09,96.5,95.69,96.09,3835139
2014-03-28,96.37,97.09,96.28,96.52,1533265
2014-03-31,97.1,97.58,97.05,97.47,2978396
2014-04-01,97.89,98.27,97.75,98.23,3882619
2014-04-02,98.46,98.66,98.18,98.54,2855341
2014-04-03,98.72,98.74,97.96,98.27,2169733
2014-04-04,98.84,98.85,96.77,96.92,3026946
2014-04-07,96.6,96.8099,95.48,95.76,5316174
2014-04-08,95.76,96.38,95.35,96.18,3728421
2014-04-09,96.5,97.33,96.2201,97.33,1976352
2014-04-10,97.3,97.35,95.03,95.19,3285368
2014-04-11,94.66,95.31,94.1,94.25,3380149
2014-04-14,95.02,95.2,94.12,94.89,3248568
2014-04-15,95.13,95.6,94.03,95.54,3339352
2014-04-16,96.21,96.55,95.75,96.54,4498548
2014-04-17,96.42,96.97,96.26,96.73,2241079
2014-04-21,96.78,97.12,96.57,97.12,3042964
2014-04-22,97.26,97.905,97.19,97.62,2442433
2014-04-23,97.62,97.68,97.3,97.37,1798403
2014-04-24,97.84,97.8993,96.96,97.5,1471378
2014-04-25,97.19,97.25,96.34,96.55,1927679
2014-04-28,96.9,97.22,95.65,96.69,2046041
2014-04-29,97.0,97.3,96.765,97.17,3062495
2014-04-30,97.17,97.5568,96.7601,97.53,1423873
2014-05-01,97.41,97.84,97.14,97.56,1776279
2014-05-02,97.59,98.03,97.35,97.48,1687944
2014-05-05,97.0,97.7,96.6599,97.64,1300868
2014-05-06,97.4,97.49,96.71,96.74,1335358
2014-05-07,97.03,97.21,96.16,97.19,1644124
2014-05-08,97.09,97.8,96.66,96.93,1863494
2014-05-09,96.93,97.17,96.5,97.17,1637463
2014-05-12,97.61,98.3,97.55,98.27,1847358
2014-05-13,98.4,98.57,98.14,98.21,1526629
2014-05-14,98.14,98.19,97.52,97.67,1387462
2014-05-15,97.36,97.4302,96.21,96.77,2149185
2014-05-16,96.92,97.19,96.43,97.18,1151766
2014-05-19,96.94,97.68,96.78,97.63,1209963
2014-05-20,97.52,97.62,96.62,96.9,1858833
2014-05-21,97.23,97.72,97.1,97.65,1286446
2014-05-22,97.69,98.19,97.53,97.98,962381
2014-05-23,98.1,98.51,98.01,98.49,1171891
2014-05-27,98.83,99.16,98.78,99.14,1458809
2014-05-28,99.16,99.26,98.8234,99.03,1383092
2014-05-29,99.26,99.56,99.0,99.56,1320144
2014-05-30,99.44,99.68,99.29,99.58,1444669
2014-06-02,99.8,99.84,99.16,99.7,2762567
2014-06-03,99.45,99.72,99.3162,99.66,941969
2014-06-04,99.38,99.97,99.33,99.87,1754136
2014-06-05,100.02,100.76,99.64,100.68,1797410
2014-06-06,100.99,101.25,100.85,101.2,1929381
